scenario,target,source,year,value,target_color,source_color,link_color
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2080,1.18624,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2085,1.93871,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2090,1.82389,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2095,1.51479,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2100,2.95572,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2020,8.60584,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2025,14.7896,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2030,12.4686,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2035,12.1024,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2040,18.9246,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2045,13.4668,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2050,18.1622,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2055,21.9394,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2060,11.9059,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2065,20.5251,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2070,16.9557,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2075,14.833,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2080,24.0724,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2085,19.6854,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2090,24.1141,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2095,25.8476,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Mississippi River,2100,7.44558,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2020,21.1193,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2025,16.8599,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2030,19.1203,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2035,20.0911,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2040,13.6821,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2045,18.9034,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2050,14.139,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2055,13.0073,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2060,21.5965,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2065,16.1629,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2070,19.8897,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2075,21.7448,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2080,14.0975,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2085,18.3403,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2090,13.8253,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2095,14.5078,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Mississippi River,2100,27.8058,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2020,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2025,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2030,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2035,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2040,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2045,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2050,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2055,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2060,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2065,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2070,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2075,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2080,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2085,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2090,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2095,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Mid Atlantic,2100,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2020,23.3932,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2025,23.4881,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2030,21.0378,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2035,17.2889,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2040,13.3838,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2045,12.3424,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2050,11.2317,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2055,10.944,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2060,10.6895,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2065,10.5511,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2070,10.243,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2075,9.94948,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2080,9.65633,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2085,9.42621,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2090,9.34223,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2095,9.45554,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Mid Atlantic,2100,9.29716,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2020,8.52986,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2025,6.92022,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2030,16.1487,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2035,3.60073,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2040,13.9413,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2045,23.8117,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2050,11.7673,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2055,17.1162,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2060,8.672,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2065,4.52729,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2070,23.0909,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2075,11.8499,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2080,25.3109,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2085,37.0531,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2090,21.7104,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2095,18.999,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Missouri River,2100,9.25397,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2020,38.9473,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2025,44.3975,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2030,36.3366,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2035,40.1683,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2040,33.4857,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2045,23.831,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2050,33.8032,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2055,31.8592,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2060,38.9561,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2065,45.5887,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2070,33.2479,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2075,35.9666,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2080,30.9987,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2085,21.5557,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2090,31.1558,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2095,32.6937,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Missouri River,2100,40.0021,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2020,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2025,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2030,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2035,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2040,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2045,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2050,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2055,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2060,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2065,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2070,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2075,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2080,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2085,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2090,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2095,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,New England,2100,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2020,3.03123,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2025,3.0444,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2030,3.03266,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2035,2.97438,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2040,2.90489,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2045,2.82966,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2050,2.73432,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2055,2.643,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2060,2.52881,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2065,2.42505,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2070,2.32914,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2075,2.2066,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2080,2.13054,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2085,2.06057,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2090,1.98266,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,New England,2095,1.9228,#00B1D1,#02B0CF,#daebed
