scenario,target,source,year,value,target_color,source_color,link_color
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2020,3.17862,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2025,3.05003,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2030,5.32252,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2035,4.0394,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2040,10.6828,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2045,12.1599,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2050,7.9399,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2055,14.543,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2060,4.66586,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2065,3.3125,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2070,6.29476,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2075,4.40518,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2080,12.8467,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2085,16.5597,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2090,11.7515,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2095,15.0821,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Arkansas White Red,2100,4.5962,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2020,21.6738,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2025,23.3613,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2030,22.9233,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2035,21.8766,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2040,15.622,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2045,15.558,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2050,18.5604,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2055,14.2835,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2060,21.9199,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2065,23.0611,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2070,22.9768,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2075,22.9244,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2080,15.7726,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2085,15.3309,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2090,17.1223,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2095,14.8166,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Arkansas White Red,2100,21.5146,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2020,5.8207,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2025,2.11514,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2030,20.1105,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2035,14.2292,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2040,11.7263,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2045,19.4442,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2050,23.6284,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2055,30.5588,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2060,16.9159,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2065,10.0634,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2070,27.9999,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2075,15.637,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2080,10.1454,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2085,6.87194,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2090,3.39559e-05,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2095,6.82588e-05,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,California River,2100,0.0,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2020,30.5736,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2025,35.126,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2030,21.0073,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2035,27.6198,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2040,33.4871,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2045,26.1224,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2050,24.2848,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2055,19.2554,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2060,33.1539,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2065,38.1367,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2070,23.447,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2075,33.2065,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2080,42.6137,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2085,38.8386,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2090,42.588,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2095,40.4401,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,California River,2100,56.3728,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2020,2.12107,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2025,2.1355,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2030,3.24067,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2035,3.42923,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2040,3.41092,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2045,4.03314,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2050,4.17803,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2055,4.72546,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2060,3.88438,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2065,3.83034,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2070,4.91753,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2075,4.91763,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2080,5.19847,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2085,5.94912,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2090,6.26838,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2095,7.00847,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Great,2100,6.12598,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2020,1.32495,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2025,1.63538,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2030,0.838352,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2035,0.778539,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2040,1.13685,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2045,0.688355,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2050,0.757088,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2055,0.662688,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2060,1.46502,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2065,1.65057,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2070,0.786548,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2075,0.745307,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2080,1.05462,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2085,0.644615,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2090,0.74052,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2095,0.654619,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Great,2100,1.51988,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2020,5.40155,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2025,5.10182,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2030,7.16767,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2035,4.74812,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2040,8.89989,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2045,8.43162,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2050,9.14347,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2055,10.2075,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2060,8.99907,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2065,8.10029,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2070,11.4028,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2075,8.34963,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2080,12.8602,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2085,13.917,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2090,16.811,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2095,16.7408,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Groundwater,Lower Colorado River,2100,7.85545,#005F73,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2020,2.57609,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2025,3.47205,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2030,2.22673,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2035,5.22088,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2040,1.33579,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2045,2.13383,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2050,2.04031,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2055,1.48958,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2060,2.34483,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2065,3.17651,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2070,1.99063,#00B1D1,#02B0CF,#daebed
rcp45cooler_ssp3,Surface Water,Lower Colorado River,2075,4.61525,#00B1D1,#02B0CF,#daebed
